"","Variable Name","Number Missing","Percentage Missing","Label","Type","Class","Levels","Source"
"26","ins_classif",1400,19.6574,"INSURANCE: Total Insurance Status","integer","factor","'Both private and government, with drug coverage', 'Both private and government, without drug coverage', 'Both private and government, unk drug coverage', 'Government, with drug coverage', 'Government, without drug coverage', 'Government, unk drug coverage', 'Private, with drug coverage', 'Private, without drug coverage', 'Private, unk drug coverage'","Calculated from NHANES data"
"27","ins_type",1398,19.6293,"INSURANCE: Health Insurance Type","integer","factor","'Uninsured', 'Government', 'Private', 'Both private and government'","Calculated from NHANES data"
"28","ins_any_gap",1341,18.829,"INSURANCE: Time when no insurance in past year?","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"29","ins_private",1398,19.6293,"INSURANCE: Subject reported coverage by private health insurance","logical","logical","'TRUE', 'FALSE'","Significantly modified from NHANES data"
"30","ins_govt",1398,19.6293,"INSURANCE: Subject reported coverage by government health insurance (Medicaire, Medicaid, Medigap, CHIP, State plan, other)","logical","logical","'TRUE', 'FALSE'","Calculated from NHANES data"
"31","ins_none",7120,99.9719,"INSURANCE: Subject reported they had no health insurance coverage (Uninsured)","logical","logical","'TRUE', 'FALSE'","Significantly modified from NHANES data"
"32","ins_rx",1437,20.1769,"INSURANCE: Do plans cover prescriptions?","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"33","ins_govt_medicare",5699,80.0197,"INSURANCE: Covered by Medicare","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"34","ins_govt_medigap",7072,99.298,"INSURANCE: Covered by Medi-Gap","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"35","ins_govt_medicaid",6008,84.3583,"INSURANCE: Covered by Medicaid","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"36","ins_govt_chip",7120,99.9719,"INSURANCE: Covered by CHIP","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"37","ins_govt_state",6818,95.7315,"INSURANCE: Covered by state-sponsored health plan","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"38","ins_govt_other",6588,92.5021,"INSURANCE: Covered by other government insurance","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"39","cvd_hx",0,0,"CVD Hx: Subject reported comorbid cardiovascular disease (CAD, CHF, Angina, MI, CVA)","logical","logical","'TRUE', 'FALSE'","Calculated from NHANES data"
"40","cvd_chf_ever",11,0.1545,"Ever told had congestive heart failure","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"41","cvd_chf_age",6960,97.7254,"Age when told you had heart failure","integer","numeric, integer",NA,"NHANES data set"
"42","cvd_cad_ever",10,0.1404,"Ever told you had coronary heart disease","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"43","cvd_cad_age",6937,97.4024,"Age when told had coronary heart disease","integer","numeric, integer",NA,"NHANES data set"
"44","cvd_angina_ever",24,0.337,"Ever told you had angina/angina pectoris","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"45","cvd_angina_age",7009,98.4134,"Age when told you had angina pectoris","integer","numeric, integer",NA,"NHANES data set"
"46","cvd_mi_ever",9,0.1264,"Ever told you had heart attack","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"47","cvd_mi_age",6913,97.0654,"Age when told you had heart attack","integer","numeric, integer",NA,"NHANES data set"
"48","cvd_cva_ever",7,0.0983,"Ever told you had a stroke","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"49","cvd_cva_age",6848,96.1528,"Age when told you had a stroke","integer","numeric, integer",NA,"NHANES data set"
"50","alc_ever",968,13.5917,"ALCOHOL: Ever had a drink of any kind of alcohol","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"51","alc_freq",1532,21.5108,"ALCOHOL: How often do you consume alcohol? (Past 12 months)","integer","factor","'Never in last year', 'Every day', 'Nearly every day', '3-4 times per week', 'twice per week', 'once per week', '2-3 times per month', 'once per month', '7-11 times in the last year', '3-6 times in the last year', '1-2 times in the last year'","NHANES data set"
"52","alc_per_day",2576,36.1696,"ALCOHOL: When you drink alcohol, how many drinks do you have in one day? (Past 12 months)","integer","numeric, integer",NA,"NHANES data set"
"53","alc_heavy",978,13.7321,"ALCOHOL: Heavy Drinking Status","logical","logical","'TRUE', 'FALSE'","Calculated from NHANES data"
"54","smoking_hx",4,0.0562,"Smoking status","integer","factor","'Never', 'Past', 'Current'","Calculated from NHANES data by teaching team"
"55","active_mod_work_dur",3960,55.6024,"Physical Activity: moderate work min per week","double","numeric, float",NA,"Significantly modified from NHANES data by Teaching Team"
"56","active_transport_dur",5435,76.3128,"Physical Activity: transportation min per week","double","numeric, float",NA,"Significantly modified from NHANES data by Teaching Team"
"57","active_mod_rec_dur",4132,58.0174,"Physical Activity: moderate recreational min per week","double","numeric, float",NA,"Significantly modified from NHANES data by Teaching Team"
"58","active_total",1987,27.8995,"Physical Activity: total physical activity min per week under PAG","double","numeric, float",NA,"Significantly modified from NHANES data by Teaching Team"
"59","active_vig_dur",6493,91.1682,"Physical Activity: total minutes of vigorous physical activity per week","double","numeric, float",NA,"Significantly modified from NHANES data by Teaching Team"
"60","bmi",634,8.902,"Body Mass Index","double","numeric, float",NA,"NHANES data set"
"61","bmi_cat",634,8.902,"CDC obesity classification","integer","factor","'Underweight', 'Normal Weight', 'Overweight', 'Obese Class 1 or 2', 'Obese Class 3'","Calculated from NHANES data by teaching team"
"62","weight_self",17,0.2387,"Weight Self-Perception: How do you consider your weight","integer","factor","'Overweight', 'Underweight', 'About the right weight'","NHANES data set"
"63","weight_self_wish",6,0.0842,"Weight Self-Perception: Like to weigh more, less or same","integer","factor","'More', 'Less', 'About the same'","NHANES data set"
"64","weight_need_ever",3,0.0421,"Weight Needs: Doctor told you to control/lose weight","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"65","weight_need_exercise",4,0.0562,"Weight Needs: Doctor told you to exercise","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"66","weight_need_salt",7,0.0983,"Weight Needs: Doctor told you to reduce salt in diet","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"67","weight_need_fat",8,0.1123,"Weight Needs: Doctor told you to reduce fat/calories","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"68","weight_act_now",9,0.1264,"Weight Actions (currently): Are you now controlling or losing weight","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"69","weight_act_now_exercise",3,0.0421,"Weight Actions (currently): Are you now increasing exercise","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"70","weight_act_now_salt",4,0.0562,"Weight Actions (currently): Are you now reducing salt in diet","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"71","weight_act_now_fat",6,0.0842,"Weight Actions (currently): Are you now reducing fat in diet","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"72","weight_act_year",907,12.7352,"Weight Actions (past 12 months): Tried to lose weight in past year","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"73","weight_act_year_cut",5127,71.9882,"Weight Actions (past 12 months): Ate less to lose weight","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"74","weight_act_year_calories",5996,84.1898,"Weight Actions (past 12 months): Switched to foods with lower calories","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"75","weight_act_year_fat",6006,84.3302,"Weight Actions (past 12 months): Ate less fat to lose weight","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"76","weight_act_year_exercise",4998,70.1769,"Weight Actions (past 12 months): Exercised to lose weight","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"77","weight_act_year_skip",6312,88.6268,"Weight Actions (past 12 months): Skipped meals","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"78","weight_act_year_product",6818,95.7315,"Weight Actions (past 12 months): Ate diet foods or products","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"79","weight_act_year_liquid",6874,96.5178,"Weight Actions (past 12 months): Used a liquid diet formula","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"80","weight_act_year_program",6970,97.8658,"Weight Actions (past 12 months): Joined a weight loss program","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"81","weight_act_year_rx",7007,98.3853,"Weight Actions (past 12 months): Took prescription diet pills","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"82","weight_act_year_nonrx",6910,97.0233,"Weight Actions (past 12 months): Took non-RX suppl. to lose weight","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"83","weight_act_year_purge",7062,99.1575,"Weight Actions (past 12 months): Took laxatives or vomited","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"84","weight_act_year_water",5172,72.6201,"Weight Actions (past 12 months): Drank a lot of water","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"85","weight_act_year_diet",6875,96.5319,"Weight Actions (past 12 months): Followed a special diet","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"86","weight_act_year_carbs",5999,84.232,"Weight Actions (past 12 months): Ate fewer carbohydrates","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"87","weight_act_year_smoke",7075,99.3401,"Weight Actions (past 12 months): Started to smoke or began to smoke again","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"88","weight_act_year_veg",5281,74.1505,"Weight Actions (past 12 months): Ate more fruits, vegetables, salads","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"89","weight_act_year_habits",5658,79.444,"Weight Actions (past 12 months): Changed eating habits","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"90","weight_act_year_sweets",5581,78.3628,"Weight Actions (past 12 months): Ate less sugar, candy, sweets","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"91","weight_act_year_junk",5479,76.9306,"Weight Actions (past 12 months): Ate less junk food or fast food","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"92","weight_act_year_surgery",7100,99.6911,"Weight Actions (past 12 months): Had weight loss surgery to lose weight","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"93","weight_act_year_other",7067,99.2277,"Weight Actions (past 12 months): Other","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"94","rx_use",6214,87.2508,"RX: Subject reported taking a prescription medication in the past month","logical","logical","'TRUE', 'FALSE'","RX Data Supplement"
"95","rx_lipid",6214,87.2508,"RX: Subject reported an anti-hyperlipidemic drug","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"96","rx_count_lipid",6214,87.2508,"RX: Total number of anti-hyperlipidemic drugs reported by the subject","integer","numeric, integer",NA,"Calculated from RX Data Supplement"
"97","rx_count_total",6214,87.2508,"RX: Number of prescription medicines taken","integer","numeric, integer",NA,"RX Data Supplement"
"98","rx_statin",6214,87.2508,"RX: Subject reported a statin class anti-hyperlipidemic","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"99","rx_pcks9",6214,87.2508,"RX: Subject reported a PCKS9 inhibitor class anti-hyperlipidemic","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"100","rx_fibrate",6214,87.2508,"RX: Subject reported a fibrate class anti-hyperlipidemic","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"101","rx_sequestrant",6214,87.2508,"RX: Subject reported a bile acid sequestrant class anti-hyperlipidemic","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"102","rx_supplement",6214,87.2508,"RX: Subject reported a dietary supplement used as an anti-hyperlipidemic","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"103","rx_other",6214,87.2508,"RX: Subject reported an anti-hyperlipidemic medication not otherwise classified","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"104","rx_non_lipid",6214,87.2508,"RX: Subject reported a non-lipid lowering medication","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
